hex_id,quarter,forecast_target_quarter,observation_count,intensity_lag_1_quarter,intensity_lag_2_quarters_sum,intensity_lag_4_quarters_sum,neighbor_intensity_lag_1_quarter,species_kernel_recent_intensity,predicted_intensity,hotspot_rank,hotspot_flag,habitat_context,forecast_horizon,environment_basis
hex_00000,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.18635767160079778,0.009720400549495469,1447,0,natural,next_quarter,realized_plus_planned
hex_00001,2026-01-01,2026-03-01,0,1.0,1.0,1.0,0.0,0.24777630768672895,0.010213279127595466,1445,0,natural,next_quarter,realized_plus_planned
hex_00002,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.15708388461747663,0.017910432742822092,1360,0,mixed,next_quarter,realized_plus_planned
hex_00003,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01579984346658595,1383,0,urban,next_quarter,realized_plus_planned
hex_00004,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.020016073137628033,1343,0,urban,next_quarter,realized_plus_planned
hex_00005,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01191962625900378,1430,0,natural,next_quarter,realized_plus_planned
hex_00006,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.5,0.131972254742679,0.014362839960143071,1396,0,natural,next_quarter,realized_plus_planned
hex_00007,2026-01-01,2026-03-01,0,0.0,0.0,2.0,0.0,0.13197225474267885,0.021278064959164476,1328,0,natural,next_quarter,realized_plus_planned
hex_00008,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.032730154463121344,1193,0,urban,next_quarter,realized_plus_planned
hex_00009,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.0,0.04366190653740015,1077,0,urban,next_quarter,realized_plus_planned
hex_00010,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.039205288099048406,1125,0,urban,next_quarter,realized_plus_planned
hex_00011,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1520369083404779,0.04022141862932518,1114,0,urban,next_quarter,realized_plus_planned
hex_00012,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.21846700409427916,0.0489717926211084,1021,0,urban,next_quarter,realized_plus_planned
hex_00013,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.022481372943869208,1314,0,urban,next_quarter,realized_plus_planned
hex_00014,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.028367466742957755,1240,0,urban,next_quarter,realized_plus_planned
hex_00015,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.09427118572196179,0.05068567563413148,989,0,urban,next_quarter,realized_plus_planned
hex_00016,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.03293461064810871,1189,0,urban,next_quarter,realized_plus_planned
hex_00017,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568558,0.04504008254506852,1063,0,urban,next_quarter,realized_plus_planned
hex_00018,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.13197225474267904,0.04894945554725645,1022,0,urban,next_quarter,realized_plus_planned
hex_00019,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.11953107380568558,0.07596718242316136,769,0,urban,next_quarter,realized_plus_planned
hex_00020,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.2081664715439265,0.0774445968499696,757,0,urban,next_quarter,realized_plus_planned
hex_00021,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1520369083404778,0.07589372557555057,770,0,urban,next_quarter,realized_plus_planned
hex_00022,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.17929661070852923,0.03169638954590771,1205,0,urban,next_quarter,realized_plus_planned
hex_00023,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.2828135571658851,0.03810081903375832,1139,0,urban,next_quarter,realized_plus_planned
hex_00024,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.218467004094279,0.024997353530426605,1275,0,urban,next_quarter,realized_plus_planned
hex_00025,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.00834545922896684,1463,0,natural,next_quarter,realized_plus_planned
hex_00026,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01677340636271805,1373,0,urban,next_quarter,realized_plus_planned
hex_00027,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.023995595407207,1290,0,urban,next_quarter,realized_plus_planned
hex_00028,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.042734319117036935,1081,0,urban,next_quarter,realized_plus_planned
hex_00029,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.21380225952764736,0.037846299483981084,1142,0,urban,next_quarter,realized_plus_planned
hex_00030,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.18854237144392358,0.046615187740256275,1048,0,urban,next_quarter,realized_plus_planned
hex_00031,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.21380225952764753,0.0411199327478017,1108,0,urban,next_quarter,realized_plus_planned
hex_00032,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568583,0.07947117465354117,744,0,urban,next_quarter,realized_plus_planned
hex_00033,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568571,0.07877950277694143,750,0,urban,next_quarter,realized_plus_planned
hex_00034,2026-01-01,2026-03-01,0,0.0,1.0,1.0,0.0,0.0,0.09911313939036585,611,0,urban,next_quarter,realized_plus_planned
hex_00035,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.21380225952764767,0.13377799244874589,384,0,urban,next_quarter,realized_plus_planned
hex_00036,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568571,0.09171570075883666,660,0,urban,next_quarter,realized_plus_planned
hex_00037,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.05586614203866784,945,0,urban,next_quarter,realized_plus_planned
hex_00038,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.04765221339447703,1033,0,urban,next_quarter,realized_plus_planned
hex_00039,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02981412671424486,1219,0,urban,next_quarter,realized_plus_planned
hex_00040,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.009279325376113897,1454,0,mixed,next_quarter,realized_plus_planned
