hex_id,quarter,forecast_target_year_start,observation_count,intensity_lag_1_quarter,intensity_lag_2_quarters_sum,intensity_lag_4_quarters_sum,neighbor_intensity_lag_1_quarter,species_kernel_recent_intensity,predicted_intensity,hotspot_rank,hotspot_flag,habitat_context,forecast_horizon,environment_basis
hex_00000,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.18635767160079778,0.21101386391386387,669,0,natural,next_year,realized_plus_planned
hex_00001,2026-01-01,2026-03-01,0,1.0,1.0,1.0,0.0,0.24777630768672895,0.23364370629370623,649,0,natural,next_year,realized_plus_planned
hex_00002,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.15708388461747663,0.04363333333333333,960,0,mixed,next_year,realized_plus_planned
hex_00003,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0064714285714285716,1268,0,urban,next_year,realized_plus_planned
hex_00004,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.006333333333333333,1272,0,urban,next_year,realized_plus_planned
hex_00005,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0014047619047619047,1357,0,natural,next_year,realized_plus_planned
hex_00006,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.5,0.131972254742679,0.10741111111111111,795,0,natural,next_year,realized_plus_planned
hex_00007,2026-01-01,2026-03-01,0,0.0,0.0,2.0,0.0,0.13197225474267885,0.4604382098778721,364,0,natural,next_year,realized_plus_planned
hex_00008,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.018799999999999997,1116,0,urban,next_year,realized_plus_planned
hex_00009,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.0,0.36234956709956706,507,0,urban,next_year,realized_plus_planned
hex_00010,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02825,1045,0,urban,next_year,realized_plus_planned
hex_00011,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1520369083404779,0.16493069099728142,719,0,urban,next_year,realized_plus_planned
hex_00012,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.21846700409427916,0.14628677988677988,738,0,urban,next_year,realized_plus_planned
hex_00013,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.005333333333333333,1283,0,urban,next_year,realized_plus_planned
hex_00014,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02,1102,0,urban,next_year,realized_plus_planned
hex_00015,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.09427118572196179,0.05972665571975916,906,0,urban,next_year,realized_plus_planned
hex_00016,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.09017184265010351,838,0,urban,next_year,realized_plus_planned
hex_00017,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568558,0.08880952380952382,843,0,urban,next_year,realized_plus_planned
hex_00018,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.13197225474267904,0.10856507936507938,792,0,urban,next_year,realized_plus_planned
hex_00019,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.11953107380568558,0.2484746031746032,633,0,urban,next_year,realized_plus_planned
hex_00020,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.2081664715439265,0.20563194974959684,674,0,urban,next_year,realized_plus_planned
hex_00021,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1520369083404778,0.20387498057498057,676,0,urban,next_year,realized_plus_planned
hex_00022,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.17929661070852923,0.04729999999999999,950,0,urban,next_year,realized_plus_planned
hex_00023,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.2828135571658851,0.23088670919723556,653,0,urban,next_year,realized_plus_planned
hex_00024,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.218467004094279,0.0344,1011,0,urban,next_year,realized_plus_planned
hex_00025,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.015450835587088915,1152,0,natural,next_year,realized_plus_planned
hex_00026,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.009591478696741856,1217,0,urban,next_year,realized_plus_planned
