hex_id,quarter,forecast_target_year_start,observation_count,intensity_lag_1_quarter,intensity_lag_2_quarters_sum,intensity_lag_4_quarters_sum,neighbor_intensity_lag_1_quarter,species_kernel_recent_intensity,predicted_intensity,hotspot_rank,hotspot_flag,habitat_context,forecast_horizon,environment_basis
hex_00000,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0,natural,next_year,realized_plus_planned
hex_00001,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1363,0,natural,next_year,realized_plus_planned
hex_00002,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.009666666666666665,1076,0,mixed,next_year,realized_plus_planned
hex_00003,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.00024698388909704007,1333,0,urban,next_year,realized_plus_planned
hex_00004,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0023636363636363638,1267,0,urban,next_year,realized_plus_planned
hex_00005,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1792966107085289,0.015727272727272725,951,0,natural,next_year,realized_plus_planned
hex_00006,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003,1245,0,natural,next_year,realized_plus_planned
hex_00007,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1364,0,natural,next_year,realized_plus_planned
hex_00008,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02728888888888889,753,0,urban,next_year,realized_plus_planned
hex_00009,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.012209491903964267,1019,0,urban,next_year,realized_plus_planned
hex_00010,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.025022222222222223,788,0,urban,next_year,realized_plus_planned
hex_00011,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.08218950483343944,484,0,urban,next_year,realized_plus_planned
hex_00012,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.006382608695652174,1150,0,urban,next_year,realized_plus_planned
hex_00013,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.282813557165885,0.1942767372977899,345,0,urban,next_year,realized_plus_planned
hex_00014,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568616,0.029022769043821672,731,0,urban,next_year,realized_plus_planned
hex_00015,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.015137054758107392,961,0,urban,next_year,realized_plus_planned
hex_00016,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01196156462585034,1026,0,urban,next_year,realized_plus_planned
hex_00017,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01807936507936508,899,0,urban,next_year,realized_plus_planned
hex_00018,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.007155555555555556,1128,0,urban,next_year,realized_plus_planned
hex_00019,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.021496969696969695,838,0,urban,next_year,realized_plus_planned
hex_00020,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0687134164041242,515,0,urban,next_year,realized_plus_planned
hex_00021,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0414,628,0,urban,next_year,realized_plus_planned
hex_00022,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.17929661070852856,0.015684848484848482,953,0,urban,next_year,realized_plus_planned
hex_00023,2026-01-01,2026-03-01,0,0.0,0.0,0.0,1.0,0.17929661070852887,0.08555238095238098,478,0,urban,next_year,realized_plus_planned
hex_00024,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0016,1292,0,urban,next_year,realized_plus_planned
hex_00025,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1863576716007979,0.0013333333333333333,1302,0,natural,next_year,realized_plus_planned
hex_00026,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568587,0.0034961791831357044,1229,0,urban,next_year,realized_plus_planned
hex_00027,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.005862794165776881,1161,0,urban,next_year,realized_plus_planned
hex_00028,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.11234465856441472,430,0,urban,next_year,realized_plus_planned
hex_00029,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0017273192280864915,1291,0,urban,next_year,realized_plus_planned
hex_00030,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0034861995753715496,1230,0,urban,next_year,realized_plus_planned
hex_00031,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.004266666666666667,1203,0,urban,next_year,realized_plus_planned
hex_00032,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.016133333333333333,945,0,urban,next_year,realized_plus_planned
hex_00033,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.09052144018692004,468,0,urban,next_year,realized_plus_planned
hex_00034,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568563,0.08334285714285712,481,0,urban,next_year,realized_plus_planned
hex_00035,2026-01-01,2026-03-01,0,1.0,1.0,1.0,0.0,0.1885423714439234,0.20501428571428573,333,0,urban,next_year,realized_plus_planned
hex_00036,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568616,0.05191428571428571,577,0,urban,next_year,realized_plus_planned
hex_00037,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.0,0.563179170209091,61,1,urban,next_year,realized_plus_planned
hex_00038,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.012399999999999998,1012,0,urban,next_year,realized_plus_planned
hex_00039,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0026666666666666666,1256,0,urban,next_year,realized_plus_planned
hex_00040,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0015,1294,0,mixed,next_year,realized_plus_planned
hex_00041,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003904394326900721,1214,0,urban,next_year,realized_plus_planned
hex_00042,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003862794165776882,1216,0,urban,next_year,realized_plus_planned
hex_00043,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0014861995753715498,1295,0,urban,next_year,realized_plus_planned
hex_00044,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0014861995753715498,1296,0,urban,next_year,realized_plus_planned
hex_00045,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1365,0,urban,next_year,realized_plus_planned
hex_00046,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.006096969696969697,1152,0,urban,next_year,realized_plus_planned
hex_00047,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.03233333333333334,699,0,urban,next_year,realized_plus_planned
hex_00048,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0234,807,0,urban,next_year,realized_plus_planned
hex_00049,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.13197225474267885,0.03936190476190476,645,0,urban,next_year,realized_plus_planned
hex_00050,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.5,0.1319722547426791,0.06693333333333333,521,0,urban,next_year,realized_plus_planned
hex_00051,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.026333333333333337,761,0,urban,next_year,realized_plus_planned
hex_00052,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.04519740435945163,609,0,urban,next_year,realized_plus_planned
hex_00053,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0145,979,0,urban,next_year,realized_plus_planned
hex_00054,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0332,688,0,urban,next_year,realized_plus_planned
hex_00055,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.011333333333333332,1044,0,urban,next_year,realized_plus_planned
hex_00056,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1366,0,natural,next_year,realized_plus_planned
hex_00057,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1367,0,urban,next_year,realized_plus_planned
hex_00058,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1368,0,natural,next_year,realized_plus_planned
hex_00059,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.0,0.4603334125748987,114,1,urban,next_year,realized_plus_planned
hex_00060,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.005237727660234053,1180,0,urban,next_year,realized_plus_planned
hex_00061,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003904394326900721,1215,0,urban,next_year,realized_plus_planned
hex_00062,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.045115956784271646,610,0,urban,next_year,realized_plus_planned
hex_00063,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003333333333333333,1234,0,urban,next_year,realized_plus_planned
hex_00064,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.005333333333333333,1173,0,urban,next_year,realized_plus_planned
hex_00065,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0137,992,0,urban,next_year,realized_plus_planned
hex_00066,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.018314285714285714,896,0,urban,next_year,realized_plus_planned
hex_00067,2026-01-01,2026-03-01,0,0.0,0.0,0.0,1.0,0.2390621476113714,0.0496,584,0,urban,next_year,realized_plus_planned
hex_00068,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.33333333333333287,0.07775238095238093,495,0,urban,next_year,realized_plus_planned
hex_00069,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008,1104,0,urban,next_year,realized_plus_planned
hex_00070,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.022799999999999997,818,0,urban,next_year,realized_plus_planned
hex_00071,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.025999999999999995,770,0,urban,next_year,realized_plus_planned
hex_00072,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.015533333333333333,957,0,urban,next_year,realized_plus_planned
hex_00073,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.021476190476190475,839,0,urban,next_year,realized_plus_planned
hex_00074,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.015333333333333332,960,0,urban,next_year,realized_plus_planned
hex_00075,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.0,0.5786847494798965,55,1,urban,next_year,realized_plus_planned
hex_00076,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.005333333333333333,1174,0,mixed,next_year,realized_plus_planned
hex_00077,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1369,0,natural,next_year,realized_plus_planned
hex_00078,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003333333333333333,1235,0,mixed,next_year,realized_plus_planned
hex_00079,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0021628458498023713,1270,0,urban,next_year,realized_plus_planned
