hex_id,quarter,forecast_target_quarter,observation_count,intensity_lag_1_quarter,intensity_lag_2_quarters_sum,intensity_lag_4_quarters_sum,neighbor_intensity_lag_1_quarter,species_kernel_recent_intensity,predicted_intensity,hotspot_rank,hotspot_flag,habitat_context,forecast_horizon,environment_basis
hex_00000,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0020272301811812645,1481,0,mixed,next_quarter,realized
hex_00001,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.002368392545293903,1473,0,urban,next_quarter,realized
hex_00002,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.004254987424191356,1432,0,urban,next_quarter,realized
hex_00003,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.004106557082691323,1434,0,urban,next_quarter,realized
hex_00004,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.005395826177987946,1412,0,urban,next_quarter,realized
hex_00005,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1792966107085289,0.004339056585494033,1431,0,urban,next_quarter,realized
hex_00006,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003471761472280904,1448,0,urban,next_quarter,realized
hex_00007,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003827170367253035,1442,0,urban,next_quarter,realized
hex_00008,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008607224671980227,1340,0,urban,next_quarter,realized
hex_00009,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.009402544406080222,1322,0,urban,next_quarter,realized
hex_00010,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.010249970264613968,1304,0,urban,next_quarter,realized
hex_00011,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.00956588850543762,1319,0,urban,next_quarter,realized
hex_00012,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.010228288585766231,1305,0,urban,next_quarter,realized
hex_00013,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.282813557165885,0.006566416664888758,1390,0,urban,next_quarter,realized
hex_00014,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568616,0.00589737425046957,1401,0,urban,next_quarter,realized
hex_00015,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0075246004171131324,1366,0,urban,next_quarter,realized
hex_00016,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.006312017071912014,1395,0,urban,next_quarter,realized
hex_00017,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0076709214045646325,1364,0,urban,next_quarter,realized
hex_00018,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.00830743633398946,1345,0,urban,next_quarter,realized
hex_00019,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.011637136329087102,1281,0,urban,next_quarter,realized
hex_00020,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.016443329988966623,1171,0,urban,next_quarter,realized
hex_00021,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.015381199099320291,1205,0,urban,next_quarter,realized
hex_00022,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.17929661070852856,0.011664311955439734,1280,0,mixed,next_quarter,realized
hex_00023,2026-01-01,2026-03-01,0,0.0,0.0,0.0,1.0,0.17929661070852887,0.01947387545501088,1121,0,urban,next_quarter,realized
hex_00024,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008190634417057346,1351,0,urban,next_quarter,realized
hex_00025,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1863576716007979,0.003292797823343,1455,0,mixed,next_quarter,realized
hex_00026,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568587,0.0035152878357607746,1447,0,urban,next_quarter,realized
hex_00027,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.004055804307236187,1436,0,urban,next_quarter,realized
hex_00028,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.00717078467667857,1376,0,urban,next_quarter,realized
hex_00029,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.004651005181936267,1425,0,urban,next_quarter,realized
hex_00030,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.007819258462351321,1362,0,urban,next_quarter,realized
hex_00031,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008034114127629294,1358,0,urban,next_quarter,realized
hex_00032,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.018029397066283148,1140,0,urban,next_quarter,realized
hex_00033,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.020202507750741578,1109,0,urban,next_quarter,realized
hex_00034,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568563,0.026422970790509787,981,0,urban,next_quarter,realized
hex_00035,2026-01-01,2026-03-01,0,1.0,1.0,1.0,0.0,0.1885423714439234,0.03216138886914692,874,0,urban,next_quarter,realized
hex_00036,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568616,0.028520521576346998,942,0,urban,next_quarter,realized
hex_00037,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.0,0.0264300152236142,980,0,urban,next_quarter,realized
hex_00038,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.015339754113989336,1206,0,urban,next_quarter,realized
hex_00039,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.009835722446085621,1310,0,urban,next_quarter,realized
hex_00040,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.002124470609279452,1479,0,mixed,next_quarter,realized
hex_00041,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.002707035477088611,1466,0,mixed,next_quarter,realized
hex_00042,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.00463304562115787,1426,0,urban,next_quarter,realized
hex_00043,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.006158392835453388,1396,0,urban,next_quarter,realized
hex_00044,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008027443944671059,1359,0,urban,next_quarter,realized
hex_00045,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.00875555138464845,1335,0,urban,next_quarter,realized
hex_00046,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.009629737578415103,1316,0,urban,next_quarter,realized
hex_00047,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02465628348231439,1013,0,urban,next_quarter,realized
hex_00048,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0221621531740657,1066,0,urban,next_quarter,realized
hex_00049,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.13197225474267885,0.02681970726743759,970,0,urban,next_quarter,realized
hex_00050,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.5,0.1319722547426791,0.03014426742466686,911,0,urban,next_quarter,realized
hex_00051,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02703092032244704,965,0,urban,next_quarter,realized
hex_00052,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.031164737471608032,892,0,urban,next_quarter,realized
hex_00053,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02885986592845753,937,0,urban,next_quarter,realized
hex_00054,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02266851915182124,1053,0,urban,next_quarter,realized
hex_00055,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.016134208553956194,1187,0,urban,next_quarter,realized
hex_00056,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01074701531457032,1298,0,mixed,next_quarter,realized
hex_00057,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01180649745183602,1276,0,urban,next_quarter,realized
hex_00058,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.001618927699404893,1486,0,mixed,next_quarter,realized
hex_00059,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.0,0.0026874107671570925,1467,0,mixed,next_quarter,realized
hex_00060,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0033256177457988176,1454,0,mixed,next_quarter,realized
hex_00061,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.004547295988359513,1428,0,urban,next_quarter,realized
hex_00062,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.005343581926675021,1417,0,urban,next_quarter,realized
hex_00063,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008950909171567533,1329,0,urban,next_quarter,realized
hex_00064,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.006722532675568427,1385,0,urban,next_quarter,realized
hex_00065,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01626201734248104,1181,0,urban,next_quarter,realized
hex_00066,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.024499089083399636,1018,0,urban,next_quarter,realized
hex_00067,2026-01-01,2026-03-01,0,0.0,0.0,0.0,1.0,0.2390621476113714,0.04575949331258389,598,0,urban,next_quarter,realized
hex_00068,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.33333333333333287,0.049504963199393064,540,0,urban,next_quarter,realized
hex_00069,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.027786835833246603,949,0,urban,next_quarter,realized
hex_00070,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.020471930748456206,1102,0,urban,next_quarter,realized
hex_00071,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.016880084537655694,1163,0,urban,next_quarter,realized
hex_00072,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.028980894363099627,933,0,urban,next_quarter,realized
hex_00073,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.03756665264885663,758,0,urban,next_quarter,realized
hex_00074,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.033799278181559346,838,0,urban,next_quarter,realized
hex_00075,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.0,0.033632627087562796,847,0,urban,next_quarter,realized
hex_00076,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.016348777274874892,1175,0,urban,next_quarter,realized
hex_00077,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0012309154432827128,1488,0,mixed,next_quarter,realized
hex_00078,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.001748352979354485,1485,0,mixed,next_quarter,realized
hex_00079,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.002476604301687458,1471,0,mixed,next_quarter,realized
hex_00080,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003266473881479884,1456,0,mixed,next_quarter,realized
hex_00081,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.004537261242964183,1429,0,mixed,next_quarter,realized
hex_00082,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.009151843777624288,1325,0,urban,next_quarter,realized
hex_00083,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.00963714440723964,1315,0,urban,next_quarter,realized
hex_00084,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008641511083685716,1337,0,urban,next_quarter,realized
hex_00085,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.013085250236160926,1256,0,urban,next_quarter,realized
hex_00086,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.26394450948535747,0.026883702433915968,969,0,urban,next_quarter,realized
hex_00087,2026-01-01,2026-03-01,0,2.0,2.0,2.0,0.0,0.41633294308785296,0.030931825894536646,896,0,urban,next_quarter,realized
hex_00088,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.2639445094853585,0.03642345079754939,781,0,urban,next_quarter,realized
hex_00089,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.013670455955993208,1246,0,urban,next_quarter,realized
hex_00090,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.014197101646289283,1232,0,urban,next_quarter,realized
hex_00091,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.025997990215588553,986,0,urban,next_quarter,realized
hex_00092,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.038532417868977514,732,0,urban,next_quarter,realized
hex_00093,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.037178898167912304,769,0,urban,next_quarter,realized
hex_00094,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0275217705351767,957,0,urban,next_quarter,realized
hex_00095,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.015735855256850985,1195,0,urban,next_quarter,realized
hex_00096,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02033048258318489,1104,0,urban,next_quarter,realized
hex_00097,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.014484201518411335,1222,0,urban,next_quarter,realized
hex_00098,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0017907189242560783,1483,0,mixed,next_quarter,realized
hex_00099,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0022282283979835693,1478,0,mixed,next_quarter,realized
hex_00100,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0027461521711308486,1464,0,mixed,next_quarter,realized
hex_00101,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003695675594054091,1444,0,mixed,next_quarter,realized
hex_00102,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.005389046549875555,1413,0,mixed,next_quarter,realized
hex_00103,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0070393553551298645,1380,0,mixed,next_quarter,realized
hex_00104,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008186463968880816,1352,0,mixed,next_quarter,realized
hex_00105,2026-01-01,2026-03-01,0,0.0,0.0,0.0,2.0,0.30407381668095573,0.02327744646462681,1038,0,urban,next_quarter,realized
hex_00106,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.27151684801038833,0.01817499323672058,1136,0,urban,next_quarter,realized
hex_00107,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01464311799986124,1218,0,urban,next_quarter,realized
hex_00108,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.020501732578345117,1101,0,urban,next_quarter,realized
hex_00109,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.09427118572196183,0.03032144725249843,904,0,urban,next_quarter,realized
hex_00110,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.03581998512990452,798,0,urban,next_quarter,realized
hex_00111,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.037756360748852046,754,0,urban,next_quarter,realized
hex_00112,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.022092115511917886,1070,0,urban,next_quarter,realized
hex_00113,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.024340311713018814,1022,0,urban,next_quarter,realized
hex_00114,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.020935439670000885,1089,0,urban,next_quarter,realized
hex_00115,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.020278903717675104,1106,0,urban,next_quarter,realized
hex_00116,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01761984711646935,1150,0,urban,next_quarter,realized
hex_00117,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01343692613206258,1250,0,urban,next_quarter,realized
hex_00118,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.002749471728216395,1463,0,mixed,next_quarter,realized
hex_00119,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003369615017587564,1452,0,mixed,next_quarter,realized
hex_00120,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1863576716007978,0.01614821212652257,1186,0,urban,next_quarter,realized
hex_00121,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.13575842400519458,0.016421698713646096,1172,0,urban,next_quarter,realized
hex_00122,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.012834035742040343,1260,0,urban,next_quarter,realized
hex_00123,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.00964801415303691,1314,0,mixed,next_quarter,realized
hex_00124,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.015022493607924518,1213,0,urban,next_quarter,realized
hex_00125,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.027727664440571006,952,0,urban,next_quarter,realized
hex_00126,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1195310738056857,0.03805247195809786,743,0,urban,next_quarter,realized
hex_00127,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.13197225474267896,0.052006239025730955,495,0,urban,next_quarter,realized
hex_00128,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.040175537544105126,696,0,urban,next_quarter,realized
hex_00129,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02781728778099486,948,0,urban,next_quarter,realized
hex_00130,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.027140137059072877,963,0,urban,next_quarter,realized
hex_00131,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.028010391551928443,946,0,urban,next_quarter,realized
hex_00132,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.020425537303204438,1103,0,urban,next_quarter,realized
hex_00133,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.016726751742260543,1166,0,urban,next_quarter,realized
hex_00134,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.020571020479565483,1099,0,urban,next_quarter,realized
hex_00135,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.025680089192623712,992,0,urban,next_quarter,realized
hex_00136,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.014568349323441854,1220,0,urban,next_quarter,realized
hex_00137,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.012222256153352018,1270,0,mixed,next_quarter,realized
hex_00138,2026-01-01,2026-03-01,0,0.0,0.0,0.0,1.0,0.186357671600798,0.013843503278557535,1243,0,urban,next_quarter,realized
hex_00139,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1570838846174765,0.017198423490491492,1158,0,mixed,next_quarter,realized
hex_00140,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.15203690834047784,0.02247016317493119,1059,0,urban,next_quarter,realized
hex_00141,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.2081664715439264,0.032463121091632595,870,0,urban,next_quarter,realized
hex_00142,2026-01-01,2026-03-01,0,0.0,1.0,1.0,0.0,0.11953107380568596,0.03558295888689621,804,0,urban,next_quarter,realized
hex_00143,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.025812960901508305,990,0,urban,next_quarter,realized
hex_00144,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.016355033069972914,1174,0,urban,next_quarter,realized
hex_00145,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.029497119240070587,922,0,urban,next_quarter,realized
hex_00146,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568594,0.03649716004382559,780,0,urban,next_quarter,realized
hex_00147,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.18854237144392355,0.05067473037340976,522,0,urban,next_quarter,realized
hex_00148,2026-01-01,2026-03-01,0,0.0,1.0,1.0,0.0,0.11953107380568555,0.0726976308799951,227,0,urban,next_quarter,realized
