hex_id,quarter,forecast_target_year_start,observation_count,intensity_lag_1_quarter,intensity_lag_2_quarters_sum,intensity_lag_4_quarters_sum,neighbor_intensity_lag_1_quarter,species_kernel_recent_intensity,predicted_intensity,hotspot_rank,hotspot_flag,habitat_context,forecast_horizon,environment_basis
hex_00000,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003142857142857143,1237,0,mixed,next_year,realized
hex_00001,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1318,0,urban,next_year,realized
hex_00002,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.01,1118,0,urban,next_year,realized
hex_00003,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1319,0,urban,next_year,realized
hex_00004,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1320,0,urban,next_year,realized
hex_00005,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1792966107085289,0.008933333333333333,1135,0,urban,next_year,realized
hex_00006,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.002,1263,0,urban,next_year,realized
hex_00007,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1321,0,urban,next_year,realized
hex_00008,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.010999999999999998,1097,0,urban,next_year,realized
hex_00009,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.013968253968253968,1057,0,urban,next_year,realized
hex_00010,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.041523809523809525,742,0,urban,next_year,realized
hex_00011,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.05637110091323261,624,0,urban,next_year,realized
hex_00012,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008742857142857142,1139,0,urban,next_year,realized
hex_00013,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.282813557165885,0.2133190476190476,315,0,urban,next_year,realized
hex_00014,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568616,0.058114285714285716,616,0,urban,next_year,realized
hex_00015,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.018609523809523812,996,0,urban,next_year,realized
hex_00016,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008215294117647058,1155,0,urban,next_year,realized
hex_00017,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.027857142857142858,888,0,urban,next_year,realized
hex_00018,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.023190476190476192,943,0,urban,next_year,realized
hex_00019,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.020666666666666663,972,0,urban,next_year,realized
hex_00020,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.04908525860104807,681,0,urban,next_year,realized
hex_00021,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.11121904761904763,455,0,urban,next_year,realized
hex_00022,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.17929661070852856,0.005,1203,0,mixed,next_year,realized
hex_00023,2026-01-01,2026-03-01,0,0.0,0.0,0.0,1.0,0.17929661070852887,0.1158857142857143,448,0,urban,next_year,realized
hex_00024,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1322,0,urban,next_year,realized
hex_00025,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1863576716007979,0.0,1323,0,mixed,next_year,realized
hex_00026,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568587,0.0,1324,0,urban,next_year,realized
hex_00027,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1325,0,urban,next_year,realized
hex_00028,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.09359215118499005,496,0,urban,next_year,realized
hex_00029,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1326,0,urban,next_year,realized
hex_00030,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.002,1264,0,urban,next_year,realized
hex_00031,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1327,0,urban,next_year,realized
hex_00032,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.04120512820512821,746,0,urban,next_year,realized
hex_00033,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.06762260893411787,572,0,urban,next_year,realized
hex_00034,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568563,0.12574285714285716,427,0,urban,next_year,realized
hex_00035,2026-01-01,2026-03-01,0,1.0,1.0,1.0,0.0,0.1885423714439234,0.20963919413919416,318,0,urban,next_year,realized
hex_00036,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.11953107380568616,0.05368205128205127,640,0,urban,next_year,realized
hex_00037,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.0,0.6590091774891778,38,1,urban,next_year,realized
hex_00038,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02265714285714286,951,0,urban,next_year,realized
hex_00039,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1328,0,urban,next_year,realized
hex_00040,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1329,0,mixed,next_year,realized
hex_00041,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1330,0,mixed,next_year,realized
hex_00042,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1331,0,urban,next_year,realized
hex_00043,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008333333333333331,1153,0,urban,next_year,realized
hex_00044,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1332,0,urban,next_year,realized
hex_00045,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0013333333333333333,1284,0,urban,next_year,realized
hex_00046,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,2.197802197802198e-05,1309,0,urban,next_year,realized
hex_00047,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.061733333333333335,596,0,urban,next_year,realized
hex_00048,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.027948717948717953,885,0,urban,next_year,realized
hex_00049,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.13197225474267885,0.041724908424908426,739,0,urban,next_year,realized
hex_00050,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.5,0.1319722547426791,0.11916776556776557,443,0,urban,next_year,realized
hex_00051,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.05101538461538462,665,0,urban,next_year,realized
hex_00052,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.027244054580896685,897,0,urban,next_year,realized
hex_00053,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.013,1070,0,urban,next_year,realized
hex_00054,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.046752380952380955,696,0,urban,next_year,realized
hex_00055,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.016466666666666664,1023,0,urban,next_year,realized
hex_00056,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.001,1294,0,mixed,next_year,realized
hex_00057,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1333,0,urban,next_year,realized
hex_00058,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1334,0,mixed,next_year,realized
hex_00059,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.0,0.4958962148962149,103,1,mixed,next_year,realized
hex_00060,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0013333333333333333,1285,0,mixed,next_year,realized
hex_00061,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1335,0,urban,next_year,realized
hex_00062,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.04335001582295699,726,0,urban,next_year,realized
hex_00063,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1336,0,urban,next_year,realized
hex_00064,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1337,0,urban,next_year,realized
hex_00065,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.08059999999999999,533,0,urban,next_year,realized
hex_00066,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.05490476190476191,633,0,urban,next_year,realized
hex_00067,2026-01-01,2026-03-01,0,0.0,0.0,0.0,1.0,0.2390621476113714,0.15615824175824178,386,0,urban,next_year,realized
hex_00068,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.33333333333333287,0.11934871794871794,441,0,urban,next_year,realized
hex_00069,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1338,0,urban,next_year,realized
hex_00070,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.05565384615384616,631,0,urban,next_year,realized
hex_00071,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.047091575091575084,693,0,urban,next_year,realized
hex_00072,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02531904761904762,926,0,urban,next_year,realized
hex_00073,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.026166666666666664,912,0,urban,next_year,realized
hex_00074,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.013666666666666666,1060,0,urban,next_year,realized
hex_00075,2026-01-01,2026-03-01,0,0.0,0.0,1.0,0.0,0.0,0.6133417597022861,54,1,urban,next_year,realized
hex_00076,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.014666666666666666,1047,0,urban,next_year,realized
hex_00077,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.006238095238095238,1181,0,mixed,next_year,realized
hex_00078,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1339,0,mixed,next_year,realized
hex_00079,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0017904761904761904,1278,0,mixed,next_year,realized
hex_00080,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1340,0,mixed,next_year,realized
hex_00081,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1341,0,mixed,next_year,realized
hex_00082,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1342,0,urban,next_year,realized
hex_00083,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.006,1182,0,urban,next_year,realized
hex_00084,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1343,0,urban,next_year,realized
hex_00085,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.002,1265,0,urban,next_year,realized
hex_00086,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.26394450948535747,0.034600000000000006,818,0,urban,next_year,realized
hex_00087,2026-01-01,2026-03-01,0,2.0,2.0,2.0,0.0,0.41633294308785296,0.376715365336418,177,0,urban,next_year,realized
hex_00088,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.2639445094853585,0.12635436608113026,426,0,urban,next_year,realized
hex_00089,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1344,0,urban,next_year,realized
hex_00090,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003,1238,0,urban,next_year,realized
hex_00091,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.015847619047619048,1031,0,urban,next_year,realized
hex_00092,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.037952380952380946,774,0,urban,next_year,realized
hex_00093,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.020533333333333334,974,0,urban,next_year,realized
hex_00094,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.027733333333333332,890,0,urban,next_year,realized
hex_00095,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.011333333333333332,1094,0,urban,next_year,realized
hex_00096,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1345,0,urban,next_year,realized
hex_00097,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1346,0,urban,next_year,realized
hex_00098,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1347,0,mixed,next_year,realized
hex_00099,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.02599905891210239,917,0,mixed,next_year,realized
hex_00100,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1348,0,mixed,next_year,realized
hex_00101,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1349,0,mixed,next_year,realized
hex_00102,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1350,0,mixed,next_year,realized
hex_00103,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1351,0,mixed,next_year,realized
hex_00104,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1352,0,mixed,next_year,realized
hex_00105,2026-01-01,2026-03-01,0,0.0,0.0,0.0,2.0,0.30407381668095573,0.07208564443902972,558,0,urban,next_year,realized
hex_00106,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.27151684801038833,0.0158,1034,0,urban,next_year,realized
hex_00107,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1353,0,urban,next_year,realized
hex_00108,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.4151272283272287,149,1,urban,next_year,realized
hex_00109,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.09427118572196183,0.0518,655,0,urban,next_year,realized
hex_00110,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.04507042391570693,708,0,urban,next_year,realized
hex_00111,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.08498205128205127,519,0,urban,next_year,realized
hex_00112,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.036800000000000006,788,0,urban,next_year,realized
hex_00113,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.016399999999999998,1025,0,urban,next_year,realized
hex_00114,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1354,0,urban,next_year,realized
hex_00115,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0024,1258,0,urban,next_year,realized
hex_00116,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0056,1193,0,urban,next_year,realized
hex_00117,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1355,0,urban,next_year,realized
hex_00118,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0003076923076923077,1303,0,mixed,next_year,realized
hex_00119,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1356,0,mixed,next_year,realized
hex_00120,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1863576716007978,0.0,1357,0,urban,next_year,realized
hex_00121,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.13575842400519458,0.01177777777777778,1090,0,urban,next_year,realized
hex_00122,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.19458646650069986,333,0,urban,next_year,realized
hex_00123,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1358,0,mixed,next_year,realized
hex_00124,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.003,1239,0,urban,next_year,realized
hex_00125,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.033107448107448104,836,0,urban,next_year,realized
hex_00126,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1195310738056857,0.0503142857142857,669,0,urban,next_year,realized
hex_00127,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.13197225474267896,0.17687936507936508,354,0,urban,next_year,realized
hex_00128,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.05037777777777778,668,0,urban,next_year,realized
hex_00129,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.006,1183,0,urban,next_year,realized
hex_00130,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.03,867,0,urban,next_year,realized
hex_00131,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.002,1266,0,urban,next_year,realized
hex_00132,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0008,1297,0,urban,next_year,realized
hex_00133,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1359,0,urban,next_year,realized
hex_00134,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.3113678100126343,220,0,urban,next_year,realized
hex_00135,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.008666666666666666,1144,0,urban,next_year,realized
hex_00136,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1360,0,urban,next_year,realized
hex_00137,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,1361,0,mixed,next_year,realized
hex_00138,2026-01-01,2026-03-01,0,0.0,0.0,0.0,1.0,0.186357671600798,0.02361904761904762,937,0,urban,next_year,realized
hex_00139,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.1570838846174765,0.007999999999999998,1157,0,mixed,next_year,realized
hex_00140,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.15203690834047784,0.039,770,0,urban,next_year,realized
hex_00141,2026-01-01,2026-03-01,1,0.0,0.0,0.0,0.0,0.2081664715439264,0.23291904761904766,299,0,urban,next_year,realized
hex_00142,2026-01-01,2026-03-01,0,0.0,1.0,1.0,0.0,0.11953107380568596,0.3420728487886384,202,0,urban,next_year,realized
hex_00143,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.052866666666666666,646,0,urban,next_year,realized
hex_00144,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.010333333333333333,1109,0,urban,next_year,realized
hex_00145,2026-01-01,2026-03-01,0,0.0,0.0,0.0,0.0,0.0,0.012066666666666667,1085,0,urban,next_year,realized
